datetime,station_name,state,city,station_latitude,station_longitude,pm2_5,pm10,no2,so2,has_ground_truth
2025-07-18 17:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,44.1,70.6,14.4,7.9,True
2025-07-18 20:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,49.7,79.4,36.7,4.8,True
2025-07-18 23:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,29.2,46.8,30.0,4.8,True
2025-07-19 02:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,64.1,102.6,32.5,1.7,True
2025-07-19 05:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,42.1,67.4,28.5,4.7,True
2025-07-19 08:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,46.7,74.8,23.7,14.7,True
2025-07-19 11:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,51.3,82.1,17.4,0.0,True
2025-07-19 14:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,52.4,83.8,17.4,10.3,True
2025-07-19 17:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,80.4,128.7,9.7,14.8,True
2025-07-19 20:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,108.8,174.2,27.7,19.7,True
2025-07-19 23:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,50.4,80.7,13.6,4.4,True
2025-07-20 02:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,28.4,45.4,21.6,12.2,True
2025-07-20 05:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,43.1,69.0,7.8,13.0,True
2025-07-20 08:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,66.6,106.5,-8.7,4.1,True
2025-07-20 11:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,33.2,53.2,24.2,10.6,True
2025-07-20 14:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,33.6,53.7,24.6,3.9,True
2025-07-20 17:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,56.7,90.8,5.7,6.5,True
2025-07-20 20:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,42.8,68.4,19.7,13.7,True
2025-07-20 23:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,35.6,57.0,36.0,7.2,True
2025-07-21 02:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,42.2,67.5,19.4,5.5,True
2025-07-21 05:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,49.2,78.7,8.4,6.9,True
2025-07-21 08:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,65.7,105.1,19.6,8.6,True
2025-07-21 11:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,30.5,48.8,22.9,5.1,True
2025-07-21 14:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,38.9,62.3,22.1,9.3,True
2025-07-21 17:32:44.318710,Delhi-Punjabi Bagh,Delhi,Delhi,28.6,77.2,41.9,67.0,17.8,8.4,True
2025-07-18 17:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,46.1,73.8,24.2,9.7,True
2025-07-18 20:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,69.3,110.9,32.4,3.2,True
2025-07-18 23:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,63.9,102.3,0.2,11.5,True
2025-07-19 02:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,58.3,93.3,-2.0,0.2,True
2025-07-19 05:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,62.3,99.6,18.3,11.0,True
2025-07-19 08:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,73.3,117.2,10.8,8.9,True
2025-07-19 11:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,41.8,66.9,10.0,4.7,True
2025-07-19 14:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,44.6,71.3,25.5,13.7,True
2025-07-19 17:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,24.9,39.8,17.9,0.2,True
2025-07-19 20:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,72.9,116.7,10.1,5.2,True
2025-07-19 23:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,43.8,70.1,11.0,11.7,True
2025-07-20 02:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,37.6,60.2,17.9,21.5,True
2025-07-20 05:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,63.3,101.2,21.3,13.7,True
2025-07-20 08:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,75.1,120.1,30.7,5.3,True
2025-07-20 11:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,26.6,42.5,21.0,12.1,True
2025-07-20 14:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,64.2,102.8,22.8,12.5,True
2025-07-20 17:32:44.318710,Mumbai-Bandra,Maharashtra,Mumbai,19.1,72.8,63.7,102.0,21.8,14.7,True
